timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
31-05-2026,173.4,174.42,170.97,173.96,172.9246343,28085151,0,1
03-06-2026,173.88,175.86,172.45,174.42,173.3818965,20742798,0,1
04-06-2026,174.45,175.19,173.22,175.13,174.0876707,14066602,0,1
05-06-2026,176.535,177.97,175.29,177.07,176.0161243,15233861,0,1
06-06-2026,177.43,178.71,177.21,178.35,177.2885061,14255818,0,1
07-06-2026,178.46,179.42,175.79,175.95,174.9027903,14716270,0,1
10-06-2026,176.45,178.47,174.38,176.63,175.7775527,17122247,0.2,1
11-06-2026,177.72,178.39,175.44,178.19,177.3300239,14402401,0,1
12-06-2026,179.75,182.08,177.78,179.56,178.6934121,18600421,0,1
13-06-2026,177.84,178.51,176.66,176.74,175.8870219,15956941,0,1
14-06-2026,175.852,178.73,175.852,178.37,177.5091552,12361571,0,1
17-06-2026,176.98,179.92,176.49,178.78,177.9171765,15272864,0,1
18-06-2026,178.79,178.91,175.62,176.45,175.5984215,15640257,0,1
20-06-2026,176.71,178.74,176.46,177.71,176.8523405,16753166,0,1
21-06-2026,178.49,182.5117,178.06,180.26,179.3900337,59728019,0,1
24-06-2026,181.28,182.08,180.23,180.79,179.9174759,18198282,0,1
25-06-2026,181.145,185.75,181.105,185.58,184.6843585,18917734,0,1
26-06-2026,184.2,185.93,183.99,185.37,184.475372,13375715,0,1
27-06-2026,185.645,187.5,185.45,186.86,185.958181,13025656,0,1
28-06-2026,185.72,186.58,183.325,183.42,182.534783,23032362,0,1
01-07-2026,184.48,185.34,182.73,184.49,183.599619,11815862,0,1
02-07-2026,183.47,186.95,183.06,186.61,185.7093875,12555545,0,1
03-07-2026,186.3,187.62,185.385,187.39,186.4856231,7409106,0,1
05-07-2026,187.32,192.26,187.32,191.96,191.0335675,14303361,0,1
08-07-2026,191.365,191.6791,189.32,190.48,189.5607102,12097611,0,1
09-07-2026,191.75,192.86,190.23,190.44,189.5209033,10224925,0,1
10-07-2026,190.75,193.31,190.62,192.66,191.7301892,12052906,0,1
